Prefix	Last	First	Suffix	FilingType	StateDst	Year	Filing Year	FilingDate	DocID	DisclosureType
HONORABLE	BARBER	RON		O	AZ02	2013	2012	5/15/2013	8211959	FD
	BARDELLA	KURT A.		O	GO00	2013	2012	5/15/2013	8211656	FD
	BAREFOOT	JEFFREY		F	AO00	2013	2012	6/10/2013	8212237	FD
	BARFIELD	JONATHAN	JR.	D	NC07	2013	2013	10/2/2013	8213193	FD
	BARFIELD	JONATHAN	JR.	D	NC07	2013	2013	10/21/2013	8213250	FD
	BARKELOO	SHARON ANN		T	TI00	2013	2013	1/29/2013	8209752	FD
	BARKLEY	MICHAEL J.		O	CA10	2013	2012	7/3/2013	8212498	FD
HONORABLE	BARLETTA	LOU		A	PA11	2013	2012	7/3/2013	9103181	FD
HONORABLE	BARLETTA	LOU		O	PA11	2013	2012	5/15/2013	8211960	FD
	BARNES	HOUSTON		O	NC02	2013	2012	1/8/2014	8213857	FD
	BARNES	MICHAEL A.		O	GP00	2013	2012	5/17/2013	9102817	FD
HONORABLE	BARNES	MIKE		O	CE00	2013	2012	5/14/2013	9103068	FD
	BARNETT	PHILIP S.		X	CM00	2013	2012	5/14/2013	8210365	FD
	BARNETT	PHILIP S.		O	CM00	2013	2012	8/6/2013	8212779	FD
	BARNETT	SUZANNE MARIE		O	LC00	2013	2012	5/20/2013	9102831	FD
	BARNUM	GEORGE D.		O	GP00	2013	2012	5/13/2013	8211372	FD
	BARON	DENA		X	AP00	2013	2012	5/10/2013	8210303	FD
	BARON	DENA		O	AP00	2013	2012	8/13/2013	8212941	FD
HONORABLE	BARR	ANDY		A	KY06	2013	2012	6/20/2013	8212364	FD
HONORABLE	BARR	ANDY		O	KY06	2013	2012	5/15/2013	8211961	FD
	BARR	BOB		A	GA11	2013	2012	6/20/2013	8212352	FD
	BARR	BOB		O	GA11	2013	2012	6/18/2013	8212351	FD
	BARRETT	ROBERT R.		A	AO00	2013	2012	10/11/2013	8213228	FD
	BARRETT	ROBERT R.		O	AO00	2013	2012	5/15/2013	8211649	FD
	BARRICK	CARL W.		A	AP00	2013	2012	1/13/2014	8213840	FD
	BARRICK	CARL W.		O	AP00	2013	2012	4/5/2013	9102261	FD
	BARRON	ELIOT STEVENS		D	LA05	2013	2013	9/26/2013	8213190	FD
	BARRON	ELIOT STEVENS		O	LA05	2013	2012	10/14/2013	8213241	FD
HONORABLE	BARROW	JOHN		O	GA12	2013	2012	5/15/2013	8211962	FD
	BARTHOLD	THOMAS A.		O	JT00	2013	2012	5/13/2013	8211373	FD
HONORABLE	BARTLETT	ROSCOE GARDNER		T	MD06	2013	2013	1/23/2013	8209695	FD
	BARTOLOMEI	DONALD L.		O	GP00	2013	2012	5/14/2013	8211544	FD
HONORABLE	BARTON	JOE		A	TX06	2013	2012	7/23/2013	8212626	FD
HONORABLE	BARTON	JOE		O	TX06	2013	2012	5/15/2013	8211966	FD
	BARTON	STACY P.		O	NJ03	2013	2012	5/16/2013	9102780	FD
	BARTON	STACY P.		A	NJ03	2013	2012	12/13/2013	8213640	FD
	BARTRUM	JOHN J.		X	AP00	2013	2012	5/9/2013	8210252	FD
	BARTRUM	JOHN J.		X	AP00	2013	2012	1/7/2014	8213771	FD
	BARTRUM	JOHN J.		A	AP00	2013	2012	2/6/2014	8213994	FD
	BARTRUM	JOHN J.		O	AP00	2013	2012	7/23/2013	8212638	FD
